Folder: addins, Size: 802
Folder: AppCompat, Size: 0
Folder: Programs, Size: 64322
Folder: AppPatch, Size: 9548448
Folder: AppPatch64, Size: 1083142
Folder: Custom, Size: 1422
Folder: Custom64, Size: 1422
Folder: en-US, Size: 292352
Folder: assembly, Size: 227
Folder: GAC, Size: 0
Folder: ADODB, Size: 0
Folder: 7.0.3300.0__b03f5f7f11d50a3a, Size: 110788
Folder: dao, Size: 0
Folder: 10.0.4504.0__31bf3856ad364e35, Size: 65731
Folder: EnvDTE, Size: 0
Folder: 8.0.0.0__b03f5f7f11d50a3a, Size: 261978
Folder: EnvDTE80, Size: 0
Folder: 8.0.0.0__b03f5f7f11d50a3a, Size: 151396
Folder: EnvDTE90, Size: 0
Folder: 9.0.0.0__b03f5f7f11d50a3a, Size: 35172
Folder: EnvDTE90a, Size: 0
Folder: 9.0.0.0__b03f5f7f11d50a3a, Size: 29037
Folder: Extensibility, Size: 0
Folder: 7.0.3300.0__b03f5f7f11d50a3a, Size: 10788
Folder: ICSharpCode.SharpZipLib, Size: 0
Folder: 0.84.0.0__1b03e6acf1164f73, Size: 143681
Folder: ipdmctrl, Size: 0
Folder: 11.0.0.0__71e9bce111e9429c, Size: 31757
Folder: Microsoft.Ink, Size: 0
Folder: 1.0.2201.0__31bf3856ad364e35, Size: 356677
Folder: 1.7.2600.2180__31bf3856ad364e35, Size: 516424
Folder: Microsoft.mshtml, Size: 0
Folder: 7.0.3300.0__b03f5f7f11d50a3a, Size: 8013871
Folder: Microsoft.Office.InfoPath.Permission, Size: 0
Folder: 12.0.0.0__71e9bce111e9429c, Size: 16937
Folder: Microsoft.Office.Interop.Access, Size: 0
Folder: 12.0.0.0__71e9bce111e9429c, Size: 1612812
Folder: Microsoft.Office.Interop.Access.Dao, Size: 0
Folder: 12.0.0.0__71e9bce111e9429c, Size: 80920
Folder: Microsoft.Office.Interop.Excel, Size: 0
Folder: 12.0.0.0__71e9bce111e9429c, Size: 1276939
Folder: Microsoft.Office.Interop.Graph, Size: 0
Folder: 12.0.0.0__71e9bce111e9429c, Size: 150539
Folder: Microsoft.Office.Interop.InfoPath, Size: 0
Folder: 12.0.0.0__71e9bce111e9429c, Size: 146454
Folder: Microsoft.Office.Interop.InfoPath.SemiTrust, Size: 0
Folder: 11.0.0.0__71e9bce111e9429c, Size: 404528
Folder: Microsoft.Office.Interop.InfoPath.Xml, Size: 0
Folder: 12.0.0.0__71e9bce111e9429c, Size: 89122
Folder: Microsoft.Office.Interop.Outlook, Size: 0
Folder: 12.0.0.0__71e9bce111e9429c, Size: 920597
Folder: Microsoft.Office.Interop.OutlookViewCtl, Size: 0
Folder: 12.0.0.0__71e9bce111e9429c, Size: 35876
Folder: Microsoft.Office.Interop.PowerPoint, Size: 0
Folder: 12.0.0.0__71e9bce111e9429c, Size: 251496
Folder: Microsoft.Office.Interop.Publisher, Size: 0
Folder: 12.0.0.0__71e9bce111e9429c, Size: 232471
Folder: Microsoft.Office.Interop.SmartTag, Size: 0
Folder: 12.0.0.0__71e9bce111e9429c, Size: 20502
Folder: Microsoft.Office.Interop.Word, Size: 0
Folder: 12.0.0.0__71e9bce111e9429c, Size: 783962
Folder: Microsoft.StdFormat, Size: 0
Folder: 7.0.3300.0__b03f5f7f11d50a3a, Size: 19514
Folder: Microsoft.Vbe.Interop, Size: 0
Folder: 12.0.0.0__71e9bce111e9429c, Size: 64498
Folder: Microsoft.Vbe.Interop.Forms, Size: 0
Folder: 11.0.0.0__71e9bce111e9429c, Size: 371712
Folder: Microsoft.VisualStudio.CommandBars, Size: 0
Folder: 8.0.0.0__b03f5f7f11d50a3a, Size: 85990
Folder: Microsoft.VisualStudio.Debugger.Interop, Size: 0
Folder: 8.0.1.0__b03f5f7f11d50a3a, Size: 176355
Folder: Microsoft.VisualStudio.Debugger.InteropA, Size: 0
Folder: 9.0.0.0__b03f5f7f11d50a3a, Size: 127204
Folder: Microsoft.VisualStudio.Designer.Interfaces, Size: 0
Folder: 1.0.5000.0__b03f5f7f11d50a3a, Size: 25033
Folder: Microsoft.VisualStudio.OLE.Interop, Size: 0
Folder: 7.1.40304.0__b03f5f7f11d50a3a, Size: 119010
Folder: Microsoft.VisualStudio.Shell.Interop, Size: 0
Folder: 7.1.40304.0__b03f5f7f11d50a3a, Size: 259380
Folder: Microsoft.VisualStudio.Shell.Interop.8.0, Size: 0
Folder: 8.0.0.0__b03f5f7f11d50a3a, Size: 172260
Folder: Microsoft.VisualStudio.Shell.Interop.9.0, Size: 0
Folder: 9.0.0.0__b03f5f7f11d50a3a, Size: 41188
Folder: Microsoft.VisualStudio.TextManager.Interop, Size: 0
Folder: 7.1.40304.0__b03f5f7f11d50a3a, Size: 114922
Folder: Microsoft.VisualStudio.TextManager.Interop.8.0, Size: 0
Folder: 8.0.0.0__b03f5f7f11d50a3a, Size: 57578
Folder: Microsoft.VisualStudio.TextManager.Interop.9.0, Size: 0
Folder: 9.0.0.0__b03f5f7f11d50a3a, Size: 7914
Folder: Microsoft.VisualStudio.VCCodeModel, Size: 0
Folder: 12.0.0.0__b03f5f7f11d50a3a, Size: 125415
Folder: Microsoft.VisualStudio.VCProject, Size: 0
